"","raceId","driverId","lap","position","time","milliseconds","minutes","status","isFinished","outlier"
"1",969,1,1,1,"1:34.404",94404,1.57,"Finished","TRUE","NA"
"2",969,1,2,1,"1:29.638",89638,1.49,"Finished","TRUE","NA"
"3",969,1,3,1,"1:29.119",89119,1.49,"Finished","TRUE","NA"
"4",969,1,4,1,"1:29.044",89044,1.48,"Finished","TRUE","NA"
"5",969,1,5,1,"1:28.786",88786,1.48,"Finished","TRUE","NA"
"6",969,1,6,1,"1:28.919",88919,1.48,"Finished","TRUE","NA"
"7",969,1,7,1,"1:28.797",88797,1.48,"Finished","TRUE","NA"
"8",969,1,8,1,"1:28.379",88379,1.47,"Finished","TRUE","NA"
"9",969,1,9,1,"1:28.391",88391,1.47,"Finished","TRUE","NA"
"10",969,1,10,1,"1:28.326",88326,1.47,"Finished","TRUE","NA"
"11",969,1,11,1,"1:28.464",88464,1.47,"Finished","TRUE","NA"
"12",969,1,12,1,"1:28.424",88424,1.47,"Finished","TRUE","NA"
"13",969,1,13,1,"1:28.117",88117,1.47,"Finished","TRUE","NA"
"14",969,1,14,1,"1:29.037",89037,1.48,"Finished","TRUE","NA"
"15",969,1,15,1,"1:28.494",88494,1.47,"Finished","TRUE","NA"
"16",969,1,16,1,"1:28.438",88438,1.47,"Finished","TRUE","NA"
"17",969,1,17,4,"1:46.345",106345,1.77,"Finished","TRUE","NA"
"18",969,1,18,5,"1:33.568",93568,1.56,"Finished","TRUE","NA"
"19",969,1,19,5,"1:27.551",87551,1.46,"Finished","TRUE","NA"
"20",969,1,20,5,"1:28.473",88473,1.47,"Finished","TRUE","NA"
"21",969,1,21,5,"1:28.981",88981,1.48,"Finished","TRUE","NA"
"22",969,1,22,5,"1:29.879",89879,1.5,"Finished","TRUE","NA"
"23",969,1,23,5,"1:29.457",89457,1.49,"Finished","TRUE","NA"
"24",969,1,24,5,"1:31.474",91474,1.52,"Finished","TRUE","NA"
"25",969,1,25,3,"1:30.306",90306,1.51,"Finished","TRUE","NA"
"26",969,1,26,2,"1:27.952",87952,1.47,"Finished","TRUE","NA"
"27",969,1,27,2,"1:27.834",87834,1.46,"Finished","TRUE","NA"
"28",969,1,28,2,"1:27.846",87846,1.46,"Finished","TRUE","NA"
"29",969,1,29,2,"1:27.813",87813,1.46,"Finished","TRUE","NA"
"30",969,1,30,2,"1:28.532",88532,1.48,"Finished","TRUE","NA"
"31",969,1,31,2,"1:28.267",88267,1.47,"Finished","TRUE","NA"
"32",969,1,32,2,"1:27.711",87711,1.46,"Finished","TRUE","NA"
"33",969,1,33,2,"1:27.548",87548,1.46,"Finished","TRUE","NA"
"34",969,1,34,2,"1:28.974",88974,1.48,"Finished","TRUE","NA"
"35",969,1,35,2,"1:27.435",87435,1.46,"Finished","TRUE","NA"
"36",969,1,36,2,"1:28.354",88354,1.47,"Finished","TRUE","NA"
"37",969,1,37,2,"1:27.712",87712,1.46,"Finished","TRUE","NA"
"38",969,1,38,2,"1:27.558",87558,1.46,"Finished","TRUE","NA"
"39",969,1,39,2,"1:27.618",87618,1.46,"Finished","TRUE","NA"
"40",969,1,40,2,"1:27.525",87525,1.46,"Finished","TRUE","NA"
"41",969,1,41,2,"1:28.720",88720,1.48,"Finished","TRUE","NA"
"42",969,1,42,2,"1:27.473",87473,1.46,"Finished","TRUE","NA"
"43",969,1,43,2,"1:28.842",88842,1.48,"Finished","TRUE","NA"
"44",969,1,44,2,"1:27.033",87033,1.45,"Finished","TRUE","NA"
"45",969,1,45,2,"1:27.151",87151,1.45,"Finished","TRUE","NA"
"46",969,1,46,2,"1:27.347",87347,1.46,"Finished","TRUE","NA"
"47",969,1,47,2,"1:27.285",87285,1.45,"Finished","TRUE","NA"
"48",969,1,48,2,"1:27.328",87328,1.46,"Finished","TRUE","NA"
"49",969,1,49,2,"1:28.063",88063,1.47,"Finished","TRUE","NA"
"50",969,1,50,2,"1:28.989",88989,1.48,"Finished","TRUE","NA"
"51",969,1,51,2,"1:27.768",87768,1.46,"Finished","TRUE","NA"
"52",969,1,52,2,"1:27.607",87607,1.46,"Finished","TRUE","NA"
"53",969,1,53,2,"1:27.087",87087,1.45,"Finished","TRUE","NA"
"54",969,1,54,2,"1:28.299",88299,1.47,"Finished","TRUE","NA"
"55",969,1,55,2,"1:27.496",87496,1.46,"Finished","TRUE","NA"
"56",969,1,56,2,"1:27.527",87527,1.46,"Finished","TRUE","NA"
"57",969,1,57,2,"1:28.142",88142,1.47,"Finished","TRUE","NA"
"58",969,20,1,2,"1:35.078",95078,1.58,"Finished","TRUE","NA"
"59",969,20,2,2,"1:29.727",89727,1.5,"Finished","TRUE","NA"
"60",969,20,3,2,"1:29.043",89043,1.48,"Finished","TRUE","NA"
"61",969,20,4,2,"1:29.128",89128,1.49,"Finished","TRUE","NA"
"62",969,20,5,2,"1:29.127",89127,1.49,"Finished","TRUE","NA"
"63",969,20,6,2,"1:29.083",89083,1.48,"Finished","TRUE","NA"
