Items,Coles,Woolworths
A2 Full Cream Milk 2L,5,5
Apple & Blackcurrant Juice 2L,2,2
Apple & Mango Juice 2L,2,2
Apple Juice 2L,2,2
Avocados ea,2.5,2.2
Baby Spinach Prepacked 60g,2,2
Bananas 1kg,3.9,3.9
Barilla Spaghetti No3 500g,1.95,1.99
Barilla Spaghetti No5 500g,1.95,1.99
Barilla Spaghetti No7 500g,1.95,1.99
Bega Tasty Cheese Block 500g,8.59,8.6
Blueberries prepacked 125g,2,2
Butternut Pumpkin cut 1kg,3.5,4
Cadbury Dairy Milk Chcolate 180g,4.8,3
Cadbury Dairy Milk Chocolate 350g,5,5
Cadbury Picnic Chcolate 12 Treats,3,4.6
Cadbury Picnic Chocolate Bar 46g,1,1.5
Cadbury Picnic Sticks icescream 4 packs,5,8.5
Carrots 1kg,2.2,2.2
Coca Cola Classic 375mL x 24 Cans,18.15,19.9
Coca Cola Classic 375mL x 30 Cans,38.5,22
Coca Cola No Sugar 375mL x 24 Cans,18.15,19.9
Coca Cola No Sugar 375mL x 30 Cans,38.5,22
Coon Tasty Cheese Slices 24 pack500g,8.6,8.6
Durex Pleasure Me Condoms 30pk,15,15
Free Range Extra Large Eggs 700g,4.2,4.2
Free Range Large Eggs 600g,3.8,3.8
Full Cream Milk 2L,2.39,2.39
Goulburn Valley Peaches Slices In Natural Juice700g,3.7,3.7
Green Kiwi Fruit each,0.6,0.78
Heinz Baked Beans 4 pack,3.7,3.7
Heinz Big N Chunky Soup 535g,2.5,2.5
Heinz Big Red Tomato Soup 420g,2.2,2.2
Heinz Big Red Tomato Soup 820g,3.65,3.69
Heinz Chicken & Sweet Corn Soup 535g,2.5,2.5
Heinz Hearty Vegetable Soup 535g,2.5,2.5
Heinz Italian Soup  535g,2.5,2.5
Heinz Pea & Ham Soup 535g,2.5,2.5
Heinz Pumpkin Soup 535g,2.5,2.5
Iceberg Lettuce each,1.6,3
Indomie Instant Noodle 1pk,0.5,0.65
Indomie Instant Noodle 5pk,2.75,2.75
Kensington Pride Mango each,3.5,3.9
Kraft Mac & Cheese 8 Pack410g,4,4
Lebanese Cucumber 1kg,5.9,6.9
Lime Cordial 750mL ,3,3
Lynx Africa Shower Gel 400mL,4,6
Lynx Black Shower Gel 400mL,4,6
Lynx Laidback Shower Gel 400ml,4,6
Mandarin Afourer ea,0.51,0.46
Nescafe Blend 43 Coffee 500g,14,20
Nescafe Gold Intense Coffee 200g,18,18
Nescafe Gold original Coffee 200g,18,18
Nescafe Gold Rich Coffee 100g,9.5,7
Nescafe Green Coffee 100g,11,9
Orange Juice 2L,2,2
Packham Pears  1kg,3.9,3.9
Pauls Farmhouse Gold Milk 1.5L,3.5,3.5
Pepsi 1.25L,1.25,1.8
Pepsi 2L,2.15,2.15
Pepsi Cans 24x375mL,23.9,14
Pic's Peanut Butter Smooth 380g,5,7.5
Pineapple whole each,3.2,3.9
Pink Lady Apples lose 1kg,4.9,4.9
Raspberries prepacked 125g,4.9,5
Red Watermelon whole seedless,18.75,18.82
Sanitarium Natural Smooth Peanut Butter Spread,4.05,4.05
SKYN Original Condoms 10pk,10,9
